cdi;afm;grade;approveddate;nextreviewdate;ratingmodelname;fiscalyear;salesrevenues;totalassets;entityid;overrideflag;creditcommitteedate
2781393;94526648;B;2023-06-30 06:38:29.791309+03;31-12-2023;FA_FIN;2021;8526176.0;13027130.0;100066;true;29-06-2023
15585514;99358834;BB+;2023-09-21 12:22:59.208428+03;31-03-2024;FA_FIN;2022;42041645.0;15973489.0;100079;true;21-09-2023
12820014;800411491;B+;2021-12-01 07:59:32.964176+02;31-01-2022;FA_FIN;2020;1793683.0;1166975.0;100108;true;30-11-2021
15585589;94231361;BB;2021-07-19 07:53:49.889495+03;31-07-2022;FA_FIN;2020;481400.0;9262658.0;100163;true;07-07-2021
5582141;99460632;BB+;2022-04-29 06:05:15.155722+03;30-04-2023;FA_FIN;2020;4722407.0;42611999.0;100198;true;28-04-2022
4646346;094282521;ΑΑ;2023-06-13 15:27:12.341519+03;30-09-2023;FA_FIN;2022;31605119.0;66466414.0;100249;true;13-06-2023
5044860;94061957;BB;2023-06-16 10:17:17.819299+03;30-09-2023;FA_FIN;2021;4809931.0;6293361.0;100295;true;16-06-2023
15566609;094171728;BB;2022-12-28 06:33:12.47847+02;30-11-2023;FA_FIN;2021;8187296.0;36300629.0;100337;true;27-12-2022
6045805;94249917;B+;2023-01-31 14:31:22.111657+02;31-01-2024;FA_FIN;2021;8048504.0;36243088.0;100382;true;31-01-2023
1735611;94182687;A-;2023-02-13 07:55:01.613831+02;28-02-2024;FA_FIN;2022;214316958.0;99427180.0;100429;true;09-02-2023
7527243;94033682;BB+;2022-12-29 14:45:15.643286+02;31-10-2023;FA_FIN;2021;38470522.0;60555156.0;100433;true;21-12-2022
642601;94077783;BB+;2022-11-29 09:55:25.206642+02;30-11-2023;FA_FIN;2022;664424945.0;421998344.0;100457;true;16-11-2022
2910;94317107;B+;2021-12-09 14:05:10.412426+02;30-04-2022;FA_FIN;2020;361846.0;25125420.0;100486;true;09-12-2021
