cdi;afm;csh;ebitda;eqty;gdwill;nt_incm;sales_revenue;netfixedassets;inventory;nettradereceivables;totalassets;commonsharecapital;tradepayable;totalbankingdebt;shorttermbankingdebt;longtermbankingdebt;totalliabilities;grossprofit;ebit;profitbeforetax;workingcapital;flowsoperationalactivity;flowsinvestmentactivity;flowsfinancingactivity;chgcommonsharecapital_chgsharepremium;balancedividendspayable;grossprofitmargin;netprofitmargin;ebitdamargin;totalbankingdebttoebitda;netbankingdebttoebitda;totalliabilitiestototalequity;returnonassets;returnonequity;interestcoverage;currentratio;quickratio;fnc_year;creditcommitteedate;publish_date;approveddate;reference_date;entityid
2781393;94526648;965848,00;550476,00;1231762,00;0,00;130985,00;8526176,00;6440924,00;308051,00;3047544,00;13027130,00;1799200,00;3434414,00;4748519,00;1031340,00;3717179,00;11795368,00;1123997,00;260471,00;130985,00;-2520456,00;5443,00;-194314,00;424798,00;0,00;0,00;13,18;1,54;6,46;8,63;6,87;9,58;1,01;10,63;4,22;0,66;0,54;2021;29-06-2023;20211231;2023-06-30 06:38:29.791309+03;20230929;100066|32
2781393;94526648;566748,00;-1640410,00;937604,00;0,00;-2048391,00;5785983,00;6508113,00;299262,00;2486102,00;11169900,00;1799200,00;1131402,00;4193238,00;857238,00;3336000,00;10232296,00;-655828,00;-1922748,00;-2048391,00;-1975670,00;295681,00;-227326,00;332289,00;0,00;0,00;-11,33;-35,40;-28,35;-2,56;-2,21;10,91;-18,34;-218,47;-12,92;0,65;0,54;2020;29-06-2023;20201231;2023-06-30 06:38:29.791309+03;20230929;100066|32
2781393;94526648;166101,00;753133,00;2985992,00;0,00;262287,00;8098016,00;6575468,00;240972,00;2318542,00;10569945,00;1799200,00;1212503,00;3733994,00;1082009,00;2651985,00;7583953,00;1738393,00;494466,00;380905,00;-1381545,00;1448457,00;-875618,00;-695353,00;;0,00;21,47;3,24;9,30;4,96;4,74;2,54;2,48;8,78;6,63;0,69;0,56;2019;29-06-2023;20191231;2023-06-30 06:38:29.791309+03;20230929;100066|32
15585514;99358834;5803534,00;4165389,00;6942070,00;0,00;3156615,00;42041645,00;1427022,00;4815740,00;2698002,00;15973489,00;2050320,00;1544806,00;6013933,00;3280598,00;2733335,00;9031419,00;5344148,00;4057125,00;4096580,00;7398698,00;3417292,00;-249077,00;348084,00;0,00;0,00;12,71;7,51;9,91;1,44;0,05;1,30;19,76;45,47;15,13;2,18;1,36;2022;21-09-2023;20220630;2023-09-21 12:22:59.208428+03;20230929;100079|38
15585514;99358834;2443286,00;2264184,00;4185455,00;0,00;1227933,00;27266228,00;1213098,00;3885087,00;2662107,00;11780116,00;2050320,00;1023396,00;4820468,00;1806817,00;3013651,00;7594661,00;3225157,00;2148962,00;1635864,00;5115672,00;2451174,00;-390487,00;-739124,00;0,00;0,00;11,83;4,50;8,30;2,13;1,05;1,81;10,42;29,34;5,64;2,12;1,12;2021;21-09-2023;20210630;2023-09-21 12:22:59.208428+03;20230929;100079|38
15585514;99358834;2034887,00;1370579,00;3757522,00;0,00;754545,00;26959033,00;1054660,00;4602460,00;2939801,00;11987672,00;2050320,00;1523035,00;5212511,00;5212511,00;0,00;8230150,00;2235919,00;1262469,00;1016538,00;1990664,00;0,00;0,00;0,00;;0,00;8,29;2,80;5,08;3,80;2,32;2,19;6,29;20,08;5,35;1,24;0,61;2020;21-09-2023;20200630;2023-09-21 12:22:59.208428+03;20230929;100079|38
12820014;800411491;22114,00;290515,00;-257996,00;0,00;208887,00;1793683,00;14855,00;381039,00;451909,00;1166975,00;302800,00;775999,00;340571,00;130549,00;210022,00;1424971,00;597663,00;285846,00;244204,00;-220053,00;321930,00;-3593,00;-372586,00;2800,00;0,00;33,32;11,65;16,20;1,17;1,10;-5,52;17,90;-80,97;6,84;0,82;0,39;2020;30-11-2021;20201231;2021-12-01 07:59:32.964176+02;20230929;100108|10
12820014;800411491;73562,00;-183384,00;-469684,00;0,00;-242702,00;1626574,00;15105,00;436525,00;470489,00;1538439,00;300000,00;1125719,00;670689,00;465116,00;205573,00;2008123,00;521437,00;-186613,00;-242702,00;-613056,00;99099,00;5764,00;-55946,00;0,00;0,00;32,06;-14,92;-11,27;-3,66;-3,26;-4,28;-15,78;51,67;-3,22;0,66;0,30;2019;30-11-2021;20191231;2021-12-01 07:59:32.964176+02;20230929;100108|10
12820014;800411491;24644,00;-336038,00;-226983,00;0,00;-392029,00;1528609,00;5432,00;540667,00;496404,00;1579971,00;300000,00;835948,00;669770,00;468909,00;200861,00;1806954,00;319505,00;-340152,00;-392029,00;-364913,00;-494098,00;24199,00;457287,00;0,00;0,00;20,90;-25,65;-21,98;-1,99;-1,92;-7,96;-24,81;172,71;-6,48;0,77;0,33;2018;30-11-2021;20181231;2021-12-01 07:59:32.964176+02;20230929;100108|10
12820014;800411491;38541,00;-3268,00;166331,00;0,00;-31048,00;919659,00;4104,00;801447,00;494803,00;1587909,00;300000,00;1041193,00;160603,00;160603,00;0,00;1421578,00;198691,00;-11844,00;-31048,00;-36117,00;0,00;0,00;0,00;;0,00;21,60;-3,38;-0,36;-49,14;-37,35;8,55;-1,96;-18,67;-0,17;0,97;0,38;2017;30-11-2021;20171231;2021-12-01 07:59:32.964176+02;20230929;100108|10
